Comment,Designator,Footprint,JLCPCB Part #（optional）
1uF,"C2, C3, C4, C5, C6, C8, C10, C11, C12, C14, C15, C16, C17, C18, C21, C22, C23, C24, C25, C27, C35, C38, C44, C49",C_0402_1005Metric,C52923
0.1uF,"C1, C7, C9, C19, C20, C29, C33, C42, C52",C_0402_1005Metric,C1525
47uF,"C34, C36, C37",C_1210_3225Metric,C77101
6.8pF,"C30, C31",C_0402_1005Metric,C1576
10uF,"C43, C51",C_0805_2012Metric,C15850
330uF,C13,CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder,C7226
3.3nF,C39,C_0402_1005Metric,C107028
180pF,C40,C_0805_2012Metric,C113826
1.5nF,C41,C_0805_2012Metric,C1717
470pF,C45,C_0805_2012Metric,C1822
220uF,C46,CAP_2R5TPE220MAFB,C2887903
100uF,C47,C_1206_3216Metric,C15008
10k,"R1, R4, R6, R7, R9",R_0402_1005Metric,C25531
5.1k,"R3, R5",R_0402_1005Metric,C25941
4.7k,"R11, R17",R_0402_1005Metric,C103055
5.6k,R2,R_0402_1005Metric,C100671
1M,R8,R_0402_1005Metric,C26087
3.83k,R10,R_0402_1005Metric,C67236
4.12k,R12,R_0402_1005Metric,C60081
1.33k,R13,R_0402_1005Metric,C226848
4.99k,R14,R_0402_1005Metric,C25903
3.32k,R15,R_0402_1005Metric,C60075
80.6k,R16,R_0402_1005Metric,C25921
150nH,L1,FP1005R1-R15-R,C2923790
SS310,D2,D_SMA,C5148475
25MHz,U1,"O 25,0-JO32-B-1V3-1-T1-LF",C9006
TXB0104RGYR,U2,TXB0104,C400708
MCP1824T-1802E,U5,SOT-23-5,C625462
EMC2101,U7,TSSOP-8_3x3mm_P0.65mm,C626968
INA260,U8,TSSOP-16_4.4x5mm_P0.65mm,C2155885
TPS40305,U9,TPS40305,C140285
RT9080-33GJ5,U11,RT9080-33GJ5,C841192
32.768kHz,Y1,SC32S-7PF20PPM,C32346
CSD17311Q5,"Q1, Q2",CSD17311Q5,C139640
2N7002K,Q4,SOT-323_SC-70,C114458
