Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C20, C29, C33, C42, C52, C7, C9",0402,9,0.1uF,
"C10, C11, C12, C14, C15, C16, C17, C18, C2, C21, C22, C23, C24, C25, C27, C3, C35, C38, C4, C44, C49, C5, C6, C8",0402,24,1uF,
C13,CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder,1,330uF,
C28,CP_Elec_6.3x7.7,1,220uF,
"C30, C31",0402,2,6.8pF,
"C34, C36, C37",1210,3,47uF,
C39,0402,1,3.3nF,
C40,0805,1,180pF,
C41,0805,1,1.5nF,
"C43, C51",0805,2,10uF,
C45,0805,1,470pF,
C46,CAP_2R5TPE220MAFB,1,220uF,
C47,1206,1,100uF,
D2,D_SMA,1,SS310,
F1,0603,1,5v 5a,
F2,0603,1,5v 1A,
J1,BarrelJack_Wuerth_694106106102_2.0x5.5mm,1,54-00164,
J10,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J4,470531000,1,Conn_01x04,
J8,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
L1,FP1005R1-R15-R,1,150nH,
"Q1, Q2",CSD17311Q5,2,CSD17311Q5,
Q4,SOT-323_SC-70,1,2N7002K,
"R1, R4, R6, R7, R9",0402,5,10k,
R10,0402,1,3.83k,
"R11, R17",0402,2,4.7k,
R12,0402,1,4.12k,
R13,0402,1,1.33k,
R14,0402,1,4.99k,
R15,0402,1,3.32k,
R16,0402,1,80.6k,
R2,0402,1,5.6k,
"R3, R5",0402,2,5.1k,
R8,0402,1,1M,
"SW1, SW2",SW_TL3340AF160QG,2,GT-TC029B-H025-L1N,
U1,"O 25,0-JO32-B-1V3-1-T1-LF",1,25MHz,
U10,TSSOP-8_3x3mm_P0.65mm,1,DS4432U+,
U11,RT9080-33GJ5,1,RT9080-33GJ5,
U12,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U14,BM1366,1,BM1366_mode1,
U2,TXB0104,1,TXB0104RGYR,
U5,SOT-23-5,1,MCP1824T-1802E,
U6,SOT-23-5,1,MCP1824T-0802E,
U7,TSSOP-8_3x3mm_P0.65mm,1,EMC2101,
U8,TSSOP-16_4.4x5mm_P0.65mm,1,INA260,
U9,TPS40305,1,TPS40305,
Y1,SC32S-7PF20PPM,1,32.768kHz,
